round_queries,710,1110,1653,14307,14661,32700,32430
round_k,2,9,28,90,272,854,2702
round_shots,893,113,171,155,68,61,19
round_queries,893,565,2565,8215,11220,30195,86317
round_k,2,7,26,82,247,752,2271
round_shots,519,189,138,75,64,58,4
round_queries,519,945,2622,5175,13248,36018,23300
round_k,2,9,34,103,310,954,2912
round_shots,558,202,111,89,73,56,11
round_queries,558,1010,2109,5429,14089,32760,58927
round_k,2,9,30,96,292,877,2678
round_shots,593,158,117,104,102,102,6
round_queries,593,790,2223,6760,20094,60486,32790
round_k,2,9,32,98,296,902,2732
round_shots,552,230,126,93,70,66,6
round_queries,552,1150,2142,4743,11410,32538,28962
round_k,2,8,25,81,246,792,2413
round_shots,768,228,130,86,109,112,7
round_queries,768,1140,2470,5074,19947,64176,37569
round_k,2,9,29,91,286,894,2683
round_shots,567,226,115,115,65,63,4
round_queries,567,1130,2645,7935,13585,39753,23028
round_k,2,11,34,104,315,959,2878
round_shots,545,183,135,87,67,170,6
round_queries,545,915,2565,5655,13065,101150,34122
round_k,2,9,32,97,297,941,2843
round_shots,641,207,119,94,68,63,11
round_queries,641,1035,2261,6110,13668,38241,61963
round_k,2,9,32,100,303,914,2816
round_shots,748,133,93,323,138,67,67,4
round_queries,748,399,837,8721,11178,16281,50719,28796
round_k,1,4,13,40,121,378,1148,3599
